station,valid,tmpc,relh,sped,p01m
JRB,2023-01-08 09:56,,,3.45,0.00
JRB,2023-01-08 10:56,,,3.45,0.00
JRB,2023-01-08 11:56,,,0.00,0.00
JRB,2023-01-08 12:56,,,8.05,0.00
JRB,2023-01-08 13:56,,,4.60,0.00
JRB,2023-01-08 14:56,,,5.75,0.00
JRB,2023-01-08 15:56,,,3.45,0.00
JRB,2023-01-08 16:56,,,4.60,0.25
JRB,2023-01-08 17:56,,,6.90,0.00
JRB,2023-01-08 18:56,,,6.90,0.00
JRB,2023-01-08 19:56,,,5.75,0.00
JRB,2023-01-08 20:56,,,4.60,0.00
JRB,2023-01-08 21:56,,,5.75,0.00
JRB,2023-01-08 23:56,,,4.60,0.00
JRB,2023-01-09 00:56,,,8.05,0.00
JRB,2023-01-09 01:56,,,9.20,0.00
JRB,2023-01-09 02:56,,,8.05,0.00
JRB,2023-01-09 03:56,,,6.90,0.00
JRB,2023-01-09 04:56,,,4.60,0.00
JRB,2023-01-09 05:56,,,4.60,0.00
JRB,2023-01-09 06:56,,,6.90,0.00
JRB,2023-01-09 07:49,,,6.90,T
JRB,2023-01-09 07:56,,,5.75,T
JRB,2023-01-09 08:34,,,4.60,T
JRB,2023-01-09 08:41,,,3.45,T
JRB,2023-01-09 08:56,,,0.00,T
JRB,2023-01-09 09:56,,,3.45,T
JRB,2023-01-09 10:56,,,5.75,0.00
JRB,2023-01-09 11:36,,,4.60,0.00
JRB,2023-01-09 11:56,,,4.60,0.00
JRB,2023-01-09 12:56,,,8.05,0.00
JRB,2023-01-09 13:56,,,6.90,0.00
JRB,2023-01-09 14:56,,,6.90,0.00
JRB,2023-01-09 15:56,,,5.75,0.00
JRB,2023-01-09 16:56,,,8.05,0.00
JRB,2023-01-09 17:56,,,9.20,0.00
JRB,2023-01-09 18:56,,,5.75,0.00
JRB,2023-01-09 19:56,,,3.45,0.00
JRB,2023-01-09 20:56,,,3.45,0.00
JRB,2023-01-09 21:56,,,3.45,0.00
JRB,2023-01-09 22:56,,,4.60,0.00
JRB,2023-01-09 23:56,,,6.90,0.00
JRB,2023-01-10 00:56,,,6.90,0.00
JRB,2023-01-10 01:56,,,8.05,0.00
JRB,2023-01-10 02:56,,,6.90,0.00
JRB,2023-01-10 03:56,,,9.20,0.00
JRB,2023-01-10 04:56,,,8.05,0.00
JRB,2023-01-10 05:56,,,8.05,0.00
JRB,2023-01-10 06:56,,,6.90,0.00
JRB,2023-01-10 07:56,,,6.90,0.00
JRB,2023-01-10 08:56,,,6.90,0.00
JRB,2023-01-10 09:56,,,6.90,0.00
JRB,2023-01-10 10:56,,,3.45,0.00
JRB,2023-01-10 11:56,,,5.75,0.00
JRB,2023-01-10 12:56,,,4.60,0.00
JRB,2023-01-10 13:56,,,6.90,0.00
JRB,2023-01-10 14:56,,,9.20,0.00
JRB,2023-01-10 15:56,,,8.05,0.25
JRB,2023-01-10 16:56,,,8.05,0.51
JRB,2023-01-10 17:56,,,9.20,0.00
JRB,2023-01-10 18:56,,,9.20,0.00
JRB,2023-01-10 19:56,,,8.05,0.00
JRB,2023-01-10 20:56,,,6.90,0.00
JRB,2023-01-10 21:56,,,5.75,0.00
JRB,2023-01-10 22:56,,,6.90,0.00
JRB,2023-01-10 23:56,,,6.90,0.00
JRB,2023-01-11 00:56,,,4.60,0.00
JRB,2023-01-11 01:56,,,5.75,0.00
JRB,2023-01-11 02:56,,,4.60,0.00
JRB,2023-01-11 03:56,,,6.90,0.00
JRB,2023-01-11 04:56,,,10.35,0.00
JRB,2023-01-11 05:56,,,8.05,0.00
JRB,2023-01-11 06:56,,,9.20,0.00
JRB,2023-01-11 07:56,,,9.20,0.00
JRB,2023-01-11 08:56,,,11.50,0.00
JRB,2023-01-11 09:56,,,13.80,0.00
JRB,2023-01-11 10:56,,,13.80,0.00
JRB,2023-01-11 11:56,,,10.35,0.00
JRB,2023-01-11 12:56,,,8.05,0.00
JRB,2023-01-11 13:56,,,13.80,0.00
JRB,2023-01-11 14:56,,,8.05,0.00
JRB,2023-01-11 15:56,,,4.60,0.00
JRB,2023-01-11 16:56,,,3.45,0.00
JRB,2023-01-11 17:56,,,5.75,0.00
JRB,2023-01-11 18:56,,,8.05,0.00
JRB,2023-01-11 19:56,,,4.60,0.00
JRB,2023-01-11 20:56,,,8.05,0.00
JRB,2023-01-11 21:56,,,9.20,0.00
JRB,2023-01-11 22:56,,,8.05,0.00
JRB,2023-01-11 23:56,,,5.75,0.00
JRB,2023-01-12 00:56,,,6.90,0.00
JRB,2023-01-12 01:56,,,5.75,0.00
JRB,2023-01-12 02:56,,,10.35,0.00
JRB,2023-01-12 03:56,,,6.90,0.00
JRB,2023-01-12 04:56,,,8.05,0.00
JRB,2023-01-12 05:56,,,10.35,0.00
JRB,2023-01-12 06:56,,,11.50,0.00
JRB,2023-01-12 07:08,,,10.35,0.00
JRB,2023-01-12 07:51,,,11.50,0.00
JRB,2023-01-12 07:56,,,10.35,0.00
JRB,2023-01-12 08:56,,,10.35,0.00
JRB,2023-01-12 09:56,,,11.50,0.00
JRB,2023-01-12 10:56,,,9.20,T
JRB,2023-01-12 11:23,,,11.50,T
JRB,2023-01-12 11:56,,,14.95,T
JRB,2023-01-12 12:51,,,11.50,0.51
JRB,2023-01-12 12:56,,,10.35,0.51
JRB,2023-01-12 13:56,,,10.35,0.51
JRB,2023-01-12 14:56,,,11.50,T
JRB,2023-01-12 15:56,,,8.05,0.25
JRB,2023-01-12 16:56,,,10.35,0.00
JRB,2023-01-12 17:56,,,9.20,0.00
JRB,2023-01-12 18:56,,,9.20,0.00
JRB,2023-01-12 19:56,,,11.50,0.00
JRB,2023-01-12 20:56,,,10.35,0.00
JRB,2023-01-12 21:42,,,12.65,0.00
JRB,2023-01-12 21:56,,,9.20,0.00
JRB,2023-01-12 22:56,,,6.90,T
JRB,2023-01-12 23:05,,,9.20,1.27
JRB,2023-01-12 23:56,,,3.45,1.27
JRB,2023-01-13 00:56,,,8.05,T
JRB,2023-01-13 01:56,,,5.75,T
JRB,2023-01-13 02:11,,,4.60,T
JRB,2023-01-13 02:56,,,4.60,T
JRB,2023-01-13 03:56,,,4.60,0.00
JRB,2023-01-13 04:56,,,5.75,0.00
JRB,2023-01-13 05:56,,,6.90,T
JRB,2023-01-13 06:08,,,6.90,T
JRB,2023-01-13 06:20,,,0.00,T
JRB,2023-01-13 06:56,,,3.45,T
JRB,2023-01-13 07:56,,,10.35,0.00
JRB,2023-01-13 08:08,,,9.20,0.00
JRB,2023-01-13 08:56,,,9.20,0.00
JRB,2023-01-13 09:56,,,0.00,0.00
JRB,2023-01-13 10:04,,,0.00,0.00
JRB,2023-01-13 10:56,,,4.60,0.00
JRB,2023-01-13 11:56,,,0.00,T
JRB,2023-01-13 12:56,,,0.00,T
JRB,2023-01-13 13:56,,,4.60,0.00
JRB,2023-01-13 14:29,,,6.90,0.00
JRB,2023-01-13 14:56,,,6.90,0.00
JRB,2023-01-13 15:38,,,6.90,0.00
JRB,2023-01-13 15:56,,,6.90,0.00
JRB,2023-01-13 17:56,,,10.35,0.25
JRB,2023-01-13 18:07,,,8.05,0.00
JRB,2023-01-13 18:22,,,11.50,0.00
JRB,2023-01-13 18:56,,,6.90,0.00
JRB,2023-01-13 19:54,,,3.45,0.00
JRB,2023-01-13 19:56,,,4.60,0.00
JRB,2023-01-13 20:56,,,3.45,0.00
JRB,2023-01-13 21:56,,,4.60,0.00
JRB,2023-01-13 22:56,,,3.45,0.00
JRB,2023-01-13 23:56,,,4.60,0.51
JRB,2023-01-14 00:56,,,0.00,0.00
JRB,2023-01-14 01:56,,,3.45,0.00
JRB,2023-01-14 02:56,,,8.05,0.00
JRB,2023-01-14 03:56,,,0.00,0.00
JRB,2023-01-14 04:56,,,0.00,0.00
JRB,2023-01-14 05:56,,,4.60,0.00
JRB,2023-01-14 06:48,,,4.60,0.00
JRB,2023-01-14 06:56,,,8.05,0.00
JRB,2023-01-14 07:56,,,0.00,0.00
JRB,2023-01-14 08:20,,,5.75,0.00
JRB,2023-01-14 08:56,,,5.75,0.00
JRB,2023-01-14 09:37,,,6.90,T
JRB,2023-01-14 09:56,,,8.05,T
JRB,2023-01-14 10:56,,,9.20,T
JRB,2023-01-14 11:56,,,5.75,0.00
JRB,2023-01-14 12:56,,,9.20,T
JRB,2023-01-14 13:14,,,8.05,T
JRB,2023-01-14 13:56,,,6.90,T
JRB,2023-01-14 14:56,,,4.60,0.00
JRB,2023-01-14 15:04,,,9.20,0.00
JRB,2023-01-14 15:17,,,5.75,0.00
JRB,2023-01-14 15:56,,,4.60,0.25
JRB,2023-01-14 16:56,,,9.20,0.25
JRB,2023-01-14 17:51,,,6.90,0.00
JRB,2023-01-14 17:56,,,8.05,0.00
JRB,2023-01-14 18:47,,,5.75,0.00
JRB,2023-01-14 18:56,,,9.20,0.00
JRB,2023-01-14 19:56,,,6.90,0.00
JRB,2023-01-14 20:56,,,8.05,0.00
JRB,2023-01-14 21:56,,,5.75,0.00
JRB,2023-01-14 22:56,,,5.75,0.00
JRB,2023-01-14 23:56,,,9.20,0.00
JRB,2023-01-15 00:56,,,5.75,0.00
JRB,2023-01-15 01:56,,,10.35,0.00
JRB,2023-01-15 02:56,,,9.20,0.00
JRB,2023-01-15 03:56,,,0.00,T
JRB,2023-01-15 04:56,,,6.90,T
JRB,2023-01-15 05:56,,,3.45,0.00
JRB,2023-01-15 06:56,,,5.75,0.00
JRB,2023-01-15 07:32,,,3.45,0.00
JRB,2023-01-15 07:54,,,6.90,0.00
JRB,2023-01-15 07:56,,,6.90,0.00
JRB,2023-01-15 08:56,,,9.20,0.00
JRB,2023-01-15 09:56,,,3.45,0.00
JRB,2023-01-15 10:56,,,4.60,0.00
JRB,2023-01-15 11:56,,,6.90,0.00
JRB,2023-01-15 12:56,,,6.90,0.00
JRB,2023-01-15 13:56,,,8.05,0.00
JRB,2023-01-15 14:56,,,4.60,0.00
JRB,2023-01-15 15:56,,,4.60,0.00
JRB,2023-01-15 16:56,,,8.05,0.00
JRB,2023-01-15 17:56,,,9.20,0.51
JRB,2023-01-15 18:56,,,6.90,1.02
JRB,2023-01-15 19:56,,,6.90,0.00
JRB,2023-01-15 20:56,,,0.00,0.00
JRB,2023-01-15 21:56,,,6.90,0.00
JRB,2023-01-15 22:56,,,6.90,0.00
JRB,2023-01-15 23:56,,,3.45,0.00
JRB,2023-01-16 00:56,,,5.75,0.00
JRB,2023-01-16 01:56,,,4.60,0.00
JRB,2023-01-16 02:56,,,8.05,0.00
JRB,2023-01-16 03:56,,,8.05,0.00
JRB,2023-01-16 04:56,,,4.60,0.00
JRB,2023-01-16 05:56,,,4.60,0.00
JRB,2023-01-16 06:56,,,0.00,0.00
JRB,2023-01-16 07:56,,,6.90,0.00
JRB,2023-01-16 08:56,,,5.75,0.00
JRB,2023-01-16 09:56,,,5.75,0.00
JRB,2023-01-16 10:56,,,4.60,0.00
JRB,2023-01-16 11:56,,,3.45,0.00
JRB,2023-01-16 12:56,,,3.45,0.00
JRB,2023-01-16 13:56,,,0.00,0.00
JRB,2023-01-16 14:56,,,5.75,0.00
JRB,2023-01-16 15:56,,,10.35,0.25
JRB,2023-01-16 16:56,,,6.90,0.00
JRB,2023-01-16 17:56,,,3.45,0.00
JRB,2023-01-16 18:56,,,3.45,0.00
JRB,2023-01-16 19:56,,,0.00,0.00
JRB,2023-01-16 20:56,,,3.45,0.00
JRB,2023-01-16 21:56,,,0.00,0.00
JRB,2023-01-16 22:56,,,4.60,0.00
JRB,2023-01-16 23:56,,,4.60,0.00
JRB,2023-01-17 00:56,,,0.00,0.00
JRB,2023-01-17 01:56,,,3.45,0.00
JRB,2023-01-17 02:56,,,3.45,0.00
JRB,2023-01-17 03:56,,,4.60,0.00
JRB,2023-01-17 04:56,,,0.00,0.00
JRB,2023-01-17 05:56,,,6.90,0.00
JRB,2023-01-17 06:56,,,0.00,0.00
JRB,2023-01-17 07:56,,,6.90,0.00
JRB,2023-01-17 08:56,,,6.90,0.00
JRB,2023-01-17 09:56,,,4.60,0.00
JRB,2023-01-17 10:56,,,6.90,0.00
JRB,2023-01-17 11:56,,,5.75,0.00
JRB,2023-01-17 12:56,,,6.90,0.00
JRB,2023-01-17 13:56,,,4.60,0.00
JRB,2023-01-17 14:56,,,5.75,0.00
JRB,2023-01-17 15:56,,,0.00,0.00
JRB,2023-01-17 16:56,,,3.45,0.00
JRB,2023-01-17 17:56,,,3.45,0.00
JRB,2023-01-17 18:56,,,3.45,0.00
JRB,2023-01-17 19:56,,,0.00,0.00
JRB,2023-01-17 20:54,,,4.60,0.00
JRB,2023-01-17 20:56,,,4.60,0.00
JRB,2023-01-17 21:48,,,3.45,0.25
JRB,2023-01-17 21:56,,,3.45,0.25
JRB,2023-01-17 22:11,,,4.60,0.00
JRB,2023-01-17 22:56,,,4.60,0.00
JRB,2023-01-17 23:56,,,5.75,0.00
JRB,2023-01-18 00:56,,,5.75,0.00
JRB,2023-01-18 01:56,,,4.60,0.25
JRB,2023-01-18 02:56,,,9.20,0.00
JRB,2023-01-18 03:56,,,6.90,0.00
JRB,2023-01-18 04:56,,,5.75,0.00
